gene_id	mutant_1	mutant_2	mutant_3	mutant_4	mutant_5	normal_1	normal_2	normal_3	normal_4	normal_5
GENE_0001	24	6	7	28	27	16	7	27	11	19
GENE_0002	615	442	679	545	429	500	284	612	435	409
GENE_0003	691	409	336	761	531	351	370	789	648	607
GENE_0004	49	46	75	77	46	79	73	93	77	76
GENE_0005	67	29	30	63	40	45	38	66	72	60
GENE_0006	43	23	30	33	34	33	20	27	32	25
GENE_0007	18	28	21	44	16	17	14	20	14	23
GENE_0008	230	135	160	312	193	253	77	247	186	142
GENE_0009	59	38	47	74	41	27	28	81	60	53
GENE_0010	32	28	32	45	55	22	12	46	22	39
GENE_0011	216	125	155	287	166	206	84	170	205	225
GENE_0012	360	154	188	258	124	213	93	173	151	187
GENE_0013	57	60	36	63	58	39	43	56	56	40
GENE_0014	65	24	47	72	44	47	19	55	36	45
GENE_0015	263	174	269	300	260	267	137	277	256	219
GENE_0016	138	109	111	160	150	199	167	192	185	296
GENE_0017	22	17	20	47	21	32	20	53	29	30
GENE_0018	25	14	31	17	20	22	9	32	22	25
GENE_0019	44	19	28	37	22	37	10	50	20	40
GENE_0020	33	12	20	60	20	23	23	27	33	35
GENE_0021	140	89	50	134	77	63	45	75	81	61
GENE_0022	78	73	47	122	55	277	247	315	331	300
GENE_0023	219	205	214	255	184	221	132	315	280	209
GENE_0024	372	165	221	311	214	255	97	233	225	230
GENE_0025	83	46	56	100	60	86	41	92	71	75
GENE_0026	47	24	44	46	52	46	40	53	66	37
GENE_0027	542	218	274	389	244	498	146	359	371	247
GENE_0028	609	471	426	474	317	741	217	683	442	619
GENE_0029	567	226	299	767	309	297	191	236	405	400
GENE_0030	339	179	361	544	326	180	179	340	275	425
GENE_0031	91	55	60	129	98	51	34	84	111	75
GENE_0032	242	122	99	214	214	162	100	322	345	273
GENE_0033	694	366	493	813	354	545	222	670	473	543
GENE_0034	36	12	22	46	25	22	16	36	29	38
GENE_0035	517	461	539	985	386	539	298	562	656	592
GENE_0036	58	21	42	75	31	66	48	54	45	44
GENE_0037	194	119	206	322	138	211	91	294	219	169
GENE_0038	45	25	26	28	20	41	24	21	31	35
GENE_0039	39	22	30	25	33	19	16	37	38	27
GENE_0040	319	226	216	629	330	445	200	264	358	297
GENE_0041	486	213	432	855	407	496	220	440	683	394
GENE_0042	54	21	35	34	20	32	16	29	35	19
GENE_0043	21	19	11	32	27	29	6	10	26	20
GENE_0044	285	272	233	369	290	374	127	406	196	293
GENE_0045	548	511	429	1014	451	417	409	669	511	651
GENE_0046	1481	905	836	1870	1083	385	141	246	201	160
GENE_0047	20	23	29	48	22	24	11	26	46	40
GENE_0048	24	14	20	30	29	11	14	21	42	21
GENE_0049	100	51	108	101	51	75	31	79	72	84
GENE_0050	144	113	71	118	57	108	70	142	147	135
GENE_0051	173	157	217	379	206	259	95	325	233	183
GENE_0052	71	18	50	89	53	36	18	46	79	31
GENE_0053	575	328	359	763	385	474	288	414	562	543
GENE_0054	353	277	378	493	200	288	173	541	386	295
GENE_0055	170	147	159	338	145	267	114	249	257	217
GENE_0056	352	234	322	408	274	297	189	306	277	265
GENE_0057	41	27	25	53	18	18	11	29	40	30
GENE_0058	249	152	217	210	110	213	148	247	199	296
GENE_0059	104	37	55	181	70	51	45	106	94	64
GENE_0060	357	167	151	277	227	127	72	265	310	205
GENE_0061	23	10	9	30	31	19	11	9	20	32
GENE_0062	44	38	36	66	51	32	33	71	51	60
GENE_0063	71	29	41	62	49	41	48	39	37	61
GENE_0064	24	14	10	29	19	19	10	19	25	26
GENE_0065	397	228	256	310	274	338	176	337	305	189
GENE_0066	50	31	77	85	57	49	24	73	54	41
GENE_0067	273	166	403	430	199	300	168	311	374	388
GENE_0068	688	258	275	715	452	646	338	752	531	474
GENE_0069	37	28	14	52	24	36	15	44	35	31
GENE_0070	45	17	17	29	42	36	11	39	46	43
GENE_0071	29	37	27	32	25	57	51	100	60	55
GENE_0072	633	440	380	1018	443	462	310	483	651	618
GENE_0073	22	18	16	29	17	20	13	14	22	26
GENE_0074	243	132	155	313	141	202	127	293	295	169
GENE_0075	326	180	215	445	270	357	235	428	371	299
GENE_0076	68	48	54	69	35	66	25	49	43	50
GENE_0077	115	101	111	167	119	90	69	176	90	140
GENE_0078	151	89	112	183	157	121	65	88	138	135
GENE_0079	372	230	191	447	184	346	168	331	379	275
GENE_0080	96	49	81	116	53	88	34	112	118	84
GENE_0081	169	102	219	325	142	295	96	285	266	124
GENE_0082	267	234	343	482	285	328	160	352	426	308
GENE_0083	30	25	30	34	29	49	17	44	32	36
GENE_0084	163	109	89	175	80	109	55	143	190	152
GENE_0085	27	13	22	38	26	55	14	30	40	33
GENE_0086	46	39	37	64	60	33	48	65	64	37
GENE_0087	188	120	108	195	159	106	48	84	165	101
GENE_0088	48	41	34	103	37	41	35	38	32	32
GENE_0089	28	12	14	22	20	11	6	11	25	22
GENE_0090	281	143	178	323	131	203	107	164	234	173
GENE_0091	670	391	449	760	403	559	202	369	423	659
GENE_0092	33	34	29	68	19	19	14	26	37	23
GENE_0093	157	86	95	137	110	108	71	144	122	117
GENE_0094	31	21	23	34	31	32	8	20	21	26
GENE_0095	29	23	34	41	36	27	18	48	16	29
GENE_0096	237	121	111	266	186	161	121	236	139	209
GENE_0097	16	6	13	15	12	23	11	19	24	7
GENE_0098	225	95	172	284	121	298	173	255	244	173
GENE_0099	103	37	88	88	56	77	60	60	91	84
GENE_0100	486	252	365	725	333	85	92	168	107	139
GENE_0101	54	39	49	90	48	62	37	44	40	45
GENE_0102	59	36	44	62	63	47	24	42	69	71
GENE_0103	22	16	18	21	17	16	5	33	27	26
GENE_0104	110	60	56	127	102	70	57	80	142	89
GENE_0105	22	21	12	33	17	14	8	27	22	21
GENE_0106	67	57	68	126	67	55	35	90	89	83
GENE_0107	580	349	369	526	385	495	178	457	603	560
GENE_0108	160	60	115	203	127	121	37	111	79	62
GENE_0109	186	251	252	298	261	325	191	291	239	410
GENE_0110	344	196	238	469	249	279	169	514	294	296
GENE_0111	63	54	50	79	37	62	22	79	33	55
GENE_0112	281	247	230	384	266	233	171	471	414	286
GENE_0113	55	20	37	79	46	59	26	60	77	74
GENE_0114	149	141	109	170	136	99	99	114	115	98
GENE_0115	408	229	301	478	197	244	178	379	293	317
GENE_0116	401	151	197	356	231	358	187	378	339	349
GENE_0117	57	32	50	76	39	77	37	110	98	81
GENE_0118	494	356	316	717	368	582	375	603	571	578
GENE_0119	42	21	23	48	21	29	11	46	25	38
GENE_0120	172	114	196	193	201	235	179	199	181	204
GENE_0121	81	61	45	84	47	65	58	110	125	96
GENE_0122	89	46	83	78	52	86	39	92	96	51
GENE_0123	446	328	430	761	576	536	281	699	575	547
GENE_0124	129	59	133	193	85	136	89	131	95	114
GENE_0125	429	363	434	662	376	595	233	756	530	498
GENE_0126	225	218	233	554	299	395	173	374	378	211
GENE_0127	31	19	31	11	19	51	37	111	77	107
GENE_0128	27	11	10	26	12	18	11	28	23	19
GENE_0129	32	23	33	30	36	22	11	33	25	24
GENE_0130	35	23	26	40	31	17	14	37	32	27
GENE_0131	468	306	292	526	277	254	201	242	352	330
GENE_0132	31	12	22	44	25	28	14	41	34	27
GENE_0133	77	53	59	98	85	83	41	141	113	89
GENE_0134	302	151	205	584	232	310	196	311	394	302
GENE_0135	202	197	267	333	153	220	78	233	261	212
GENE_0136	31	21	16	58	23	30	9	62	40	39
GENE_0137	241	131	183	269	205	153	135	208	163	242
GENE_0138	23	18	16	19	26	30	11	21	19	16
GENE_0139	180	116	119	252	209	137	118	178	170	230
GENE_0140	23	13	17	14	17	16	7	31	14	23
GENE_0141	28	15	29	50	36	30	14	43	22	22
GENE_0142	101	69	69	121	67	74	51	105	142	102
GENE_0143	223	144	199	200	164	243	138	241	278	256
GENE_0144	114	62	45	93	86	102	50	73	63	41
GENE_0145	102	80	56	94	76	107	54	93	92	73
GENE_0146	97	44	53	101	69	107	48	115	110	133
